REPORT_NO,CONTRIB_TYPE,CONTRIB_CODE,PERSON_ID,VEHICLE_ID
DA24470004,Person,00,c4b54279-0dbf-4db4-bcd5-522957cc1ae6,
AC20290014,Person,07,86aa846d-fc0e-4742-ae62-9b2a9ba3c16b,
BX50470005,Person,00,fad298b3-f78c-49e3-b7e6-3bda6c698fa0,
ZR0275000G,Person,00,df2ecbb3-b8b6-4de2-be15-32eaa0c5885a,
ZR0275000G,Person,00,37a2661e-cef9-471c-8e45-56f7ae6be74f,
AC1605001L,Person,00,d6abbfac-df2d-49c1-97ae-745da91818c2,
HM01460008,Person,07,99a9304a-2823-4155-af77-e412bd95acb8,
HM01460008,Person,60.88,99a9304a-2823-4155-af77-e412bd95acb8,
MCP2622000H,Person,07,e4e34024-d8ee-483e-98b6-31bd3bb7a7a0,
MCP2622000H,Person,09,e4e34024-d8ee-483e-98b6-31bd3bb7a7a0,
MCP2622000H,Person,06,e4e34024-d8ee-483e-98b6-31bd3bb7a7a0,
DA3661000C,Person,00,9da5b121-b923-4d3f-a07d-2db665b0719e,
MSP5919003G,Person,00,cc8bb71e-0e0b-4b91-adf2-39a5172f9b74,
MSP6293001X,Person,07,a3eeec23-07f0-4233-9ccd-cbe20d4cee09,
AS03220007,Person,07,fb812ec3-7448-4944-adb2-0d589471f2fb,
DA3949000V,Person,07,991148ea-b7cc-4223-b979-6b79ba43e8e5,
ADI112000C,Person,00,f4f3c6f1-074c-4e1a-8476-06c8e8b293ea,
AE4745000K,Person,07,b0564490-98f7-437b-8748-02964efd9d5e,
AE4745000K,Person,60.88,b0564490-98f7-437b-8748-02964efd9d5e,
AE4745000K,Person,25,b0564490-98f7-437b-8748-02964efd9d5e,
AE4745000K,Person,00,8681eb23-def0-4a32-ad75-148a91114581,
MSP57810034,Person,00,51ecd9dc-cc4d-4dba-81d5-930da421116a,
DM8434000R,Person,00,df177b22-8743-4826-b0e8-0c7650527710,
AC20630006,Person,00,2cf8f27f-6e9f-467a-ab80-e73efa94b977,
AC20630006,Person,07,348adad6-371e-440e-b59e-51ca79c6ed23,
ZU4251000D,Person,00,0ea3421d-e7a3-42f6-a80f-f8cc6b2998ea,
DA38850007,Person,11,666c84e0-d3ed-4101-9fe3-e9d7ccfe9590,
MSP6504001K,Person,70.88,643e3834-673e-4124-9d83-7306afb77c90,
MSP6504001K,Person,60.88,643e3834-673e-4124-9d83-7306afb77c90,
MSP6504001K,Person,39.88,643e3834-673e-4124-9d83-7306afb77c90,
MSP6504001K,Person,13,643e3834-673e-4124-9d83-7306afb77c90,
MSP6504001K,Person,06,643e3834-673e-4124-9d83-7306afb77c90,
DA3810000M,Person,07,1ebbfb24-b086-40e1-9405-0206ba597cac,
DA3810000M,Person,00,56b723e3-43dc-40c1-9fef-385a92e0aee7,
MSP5750001P,Person,22,c84de26b-66f8-40eb-b300-06fdc6df6b14,
MSP5750001P,Person,07,c84de26b-66f8-40eb-b300-06fdc6df6b14,
AC2033000G,Person,07,5f5553cb-a185-43c2-9601-6b7daa21fa13,
AE54980006,Person,00,c8497eac-280b-48c5-a2ee-9f9c28db636c,
MSP6366002S,Person,00,caefdddf-c07d-45ea-af1b-42c15bf5ea43,
MSP61950032,Person,07,30a64b96-31d2-4a8c-8395-da4b03211c14,
MSP61950032,Person,22,30a64b96-31d2-4a8c-8395-da4b03211c14,
MSP61950032,Person,21,30a64b96-31d2-4a8c-8395-da4b03211c14,
MSP61950032,Person,00,4dc8ae36-fc25-4c8d-acc5-93264b3ffdcd,
MSP6307003T,Person,07,3fe65de4-c157-40be-8460-ff94bee8dd15,
MSP6307003T,Person,00,9b2e1722-b12d-4226-9ddb-5b922bf42ea3,
DA34370006,Person,21,9999b211-e052-4a22-9680-30fe5354673b,
MSP5973000S,Person,14,849474ba-af84-4e54-8220-e437c6c31eef,
MSP5973000S,Person,07,849474ba-af84-4e54-8220-e437c6c31eef,
MSP5973000S,Person,39.88,849474ba-af84-4e54-8220-e437c6c31eef,
MSP5973000S,Person,21,849474ba-af84-4e54-8220-e437c6c31eef,
AE54090003,Person,07,474c1d77-ba75-4eee-97e3-60a335038a23,
AE54090003,Person,19,474c1d77-ba75-4eee-97e3-60a335038a23,
AE3500001P,Person,00,e8b7c535-eade-4c66-8242-9336f9a9d5d9,
MSP6459000Z,Person,00,f086a582-26ac-4157-9b52-210c9c180984,
DS03540006,Person,00,20853f05-f333-43ef-97a2-c0cd70e500d2,
MCP2869000T,Person,00,84c32ec8-88e5-435b-b997-45627e279436,
MCP11190011,Person,26,f7b63222-d017-447d-a53e-41219c54614e,
MCP11190011,Person,24,f7b63222-d017-447d-a53e-41219c54614e,
